AMKA	first_name	last_name	staff_type
44400000035	Ελένη	Αντωνίου	Doctor
44400000036	Ιωάννης	Βασιλείου	Doctor
44400000037	Σοφία	Γεωργίου	Doctor
44400000038	Κωνσταντίνος	Λαζάρου	Doctor
44400000039	Άννα	Στεργίου	Doctor
44400000040	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000041	Μαρία	Μακρής	Doctor
44400000042	Γεώργιος	Δημητρίου	Doctor
44400000043	Αικατερίνη	Ρήγας	Doctor
44400000044	Δημήτριος	Νικολάου	Doctor
44400000045	Ελένη	Αντωνίου	Doctor
44400000046	Ιωάννης	Βασιλείου	Doctor
44400000047	Σοφία	Γεωργίου	Doctor
44400000048	Κωνσταντίνος	Λαζάρου	Doctor
44400000049	Άννα	Στεργίου	Doctor
44400000050	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000051	Μαρία	Μακρής	Doctor
44400000052	Γεώργιος	Δημητρίου	Doctor
44400000053	Αικατερίνη	Ρήγας	Doctor
44400000054	Δημήτριος	Νικολάου	Doctor
44400000055	Ελένη	Αντωνίου	Doctor
44400000056	Ιωάννης	Βασιλείου	Doctor
44400000057	Σοφία	Γεωργίου	Doctor
44400000058	Κωνσταντίνος	Λαζάρου	Doctor
44400000059	Άννα	Στεργίου	Doctor
44400000060	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000061	Μαρία	Μακρής	Doctor
44400000062	Γεώργιος	Δημητρίου	Doctor
44400000063	Αικατερίνη	Ρήγας	Doctor
44400000064	Δημήτριος	Νικολάου	Doctor
44400000065	Ελένη	Αντωνίου	Doctor
44400000066	Ιωάννης	Βασιλείου	Doctor
44400000067	Σοφία	Γεωργίου	Doctor
44400000068	Κωνσταντίνος	Λαζάρου	Doctor
44400000069	Άννα	Στεργίου	Doctor
44400000070	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000071	Μαρία	Μακρής	Doctor
44400000072	Γεώργιος	Δημητρίου	Doctor
44400000073	Αικατερίνη	Ρήγας	Doctor
44400000074	Δημήτριος	Νικολάου	Doctor
44400000075	Ελένη	Αντωνίου	Doctor
44400000076	Ιωάννης	Βασιλείου	Doctor
44400000077	Σοφία	Γεωργίου	Doctor
44400000078	Κωνσταντίνος	Λαζάρου	Doctor
44400000079	Άννα	Στεργίου	Doctor
44400000080	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000081	Μαρία	Μακρής	Doctor
44400000082	Γεώργιος	Δημητρίου	Doctor
44400000083	Αικατερίνη	Ρήγας	Doctor
44400000084	Δημήτριος	Νικολάου	Doctor
44400000085	Ελένη	Αντωνίου	Doctor
44400000086	Ιωάννης	Βασιλείου	Doctor
44400000087	Σοφία	Γεωργίου	Doctor
44400000088	Κωνσταντίνος	Λαζάρου	Doctor
44400000089	Άννα	Στεργίου	Doctor
44400000090	Αλέξανδρος	Παπαδόπουλος	Doctor
45682063177	Χριστίνα	Σκαφιδάς	Doctor
46242375577	Αικατερίνη	Πετρίδης	Doctor
46530780992	Βασίλειος	Μανιάτης	Nurse
46843941319	Στέφανος	Ράπτης	Nurse
46881210024	Άννα	Καρράς	Nurse
47571950325	Βασιλική	Χρηστίδης	Nurse
48320843411	Στέφανος	Λαζαρίδης	Doctor
48478437225	Γεωργία	Μάντης	Doctor
48667253273	Γεωργία	Παππάς	Nurse
49048309838	Νικόλαος	Μακρής	Nurse
49076071466	Δήμητρα	Παπαδόπουλος	Nurse
49390736477	Φωτεινή	Σκαφιδάς	Nurse
49651311576	Χρήστος	Σιδέρης	Doctor
49688193514	Ιωάννα	Βέγγος	Nurse
50481641367	Βασίλειος	Μάντης	Doctor
50588772095	Πέτρος	Χρηστίδης	Doctor
50713992847	Γεώργιος	Γεωργίου	Doctor
51164323762	Στυλιανός	Τότης	Nurse
51308808187	Κωνσταντίνος	Γαλάνης	Doctor
51527861219	Κωνσταντίνος	Σπάθης	Doctor
51813465844	Φώτιος	Χρηστίδης	Doctor
52532478063	Αλεξάνδρα	Πέτρου	Doctor
53077254206	Δημήτριος	Αλεξίου	Nurse
53170006903	Σπυρίδων	Παππάς	Nurse
54121463621	Δήμητρα	Δημητρίου	Doctor
54145878410	Ιωάννα	Καραγιάννης	Doctor
54186083872	Φωτεινή	Παναγιωτόπουλος	Nurse
55427017115	Στυλιανός	Καραγιάννης	Nurse
55500000001	Μαρία	Ρήγας	Nurse
55500000002	Γεώργιος	Βασιλείου	Nurse
55500000003	Αικατερίνη	Στεργίου	Nurse
55500000004	Δημήτριος	Δημητρίου	Nurse
55500000005	Ελένη	Αντωνίου	Nurse
55500000006	Ιωάννης	Λαζάρου	Nurse
55500000007	Σοφία	Μακρής	Nurse
55500000008	Κωνσταντίνος	Νικολάου	Nurse
55500000009	Άννα	Γεωργίου	Nurse
55500000010	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000011	Μαρία	Ρήγας	Nurse
55500000012	Γεώργιος	Βασιλείου	Nurse
55500000013	Αικατερίνη	Στεργίου	Nurse
55500000014	Δημήτριος	Δημητρίου	Nurse
55500000015	Ελένη	Αντωνίου	Nurse
55500000016	Ιωάννης	Λαζάρου	Nurse
55500000017	Σοφία	Μακρής	Nurse
55500000018	Κωνσταντίνος	Νικολάου	Nurse
55500000019	Άννα	Γεωργίου	Nurse
55500000020	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000021	Μαρία	Ρήγας	Nurse
55500000022	Γεώργιος	Βασιλείου	Nurse
55500000023	Αικατερίνη	Στεργίου	Nurse
55500000024	Δημήτριος	Δημητρίου	Nurse
55500000025	Ελένη	Αντωνίου	Nurse
55500000026	Ιωάννης	Λαζάρου	Nurse
55500000027	Σοφία	Μακρής	Nurse
55500000028	Κωνσταντίνος	Νικολάου	Nurse
55500000029	Άννα	Γεωργίου	Nurse
55500000030	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000031	Μαρία	Ρήγας	Nurse
55500000032	Γεώργιος	Βασιλείου	Nurse
55500000033	Αικατερίνη	Στεργίου	Nurse
55500000034	Δημήτριος	Δημητρίου	Nurse
55500000035	Ελένη	Αντωνίου	Nurse
55500000036	Ιωάννης	Λαζάρου	Nurse
55500000037	Σοφία	Μακρής	Nurse
55500000038	Κωνσταντίνος	Νικολάου	Nurse
55500000039	Άννα	Γεωργίου	Nurse
55500000040	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000041	Μαρία	Ρήγας	Nurse
55500000042	Γεώργιος	Βασιλείου	Nurse
55500000043	Αικατερίνη	Στεργίου	Nurse
55500000044	Δημήτριος	Δημητρίου	Nurse
55500000045	Ελένη	Αντωνίου	Nurse
55500000046	Ιωάννης	Λαζάρου	Nurse
55500000047	Σοφία	Μακρής	Nurse
55500000048	Κωνσταντίνος	Νικολάου	Nurse
55500000049	Άννα	Γεωργίου	Nurse
55500000050	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000051	Μαρία	Ρήγας	Nurse
55500000052	Γεώργιος	Βασιλείου	Nurse
55500000053	Αικατερίνη	Στεργίου	Nurse
55500000054	Δημήτριος	Δημητρίου	Nurse
55500000055	Ελένη	Αντωνίου	Nurse
55500000056	Ιωάννης	Λαζάρου	Nurse
55500000057	Σοφία	Μακρής	Nurse
55500000058	Κωνσταντίνος	Νικολάου	Nurse
55500000059	Άννα	Γεωργίου	Nurse
55500000060	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000061	Μαρία	Ρήγας	Nurse
55500000062	Γεώργιος	Βασιλείου	Nurse
55500000063	Αικατερίνη	Στεργίου	Nurse
55500000064	Δημήτριος	Δημητρίου	Nurse
55500000065	Ελένη	Αντωνίου	Nurse
55500000066	Ιωάννης	Λαζάρου	Nurse
55500000067	Σοφία	Μακρής	Nurse
55500000068	Κωνσταντίνος	Νικολάου	Nurse
55500000069	Άννα	Γεωργίου	Nurse
55500000070	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000071	Μαρία	Ρήγας	Nurse
55500000072	Γεώργιος	Βασιλείου	Nurse
55500000073	Αικατερίνη	Στεργίου	Nurse
55500000074	Δημήτριος	Δημητρίου	Nurse
55500000075	Ελένη	Αντωνίου	Nurse
55500000076	Ιωάννης	Λαζάρου	Nurse
55500000077	Σοφία	Μακρής	Nurse
55500000078	Κωνσταντίνος	Νικολάου	Nurse
55500000079	Άννα	Γεωργίου	Nurse
55500000080	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000081	Μαρία	Ρήγας	Nurse
55500000082	Γεώργιος	Βασιλείου	Nurse
55500000083	Αικατερίνη	Στεργίου	Nurse
55500000084	Δημήτριος	Δημητρίου	Nurse
55500000085	Ελένη	Αντωνίου	Nurse
55500000086	Ιωάννης	Λαζάρου	Nurse
55500000087	Σοφία	Μακρής	Nurse
55500000088	Κωνσταντίνος	Νικολάου	Nurse
55500000089	Άννα	Γεωργίου	Nurse
55500000090	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000091	Μαρία	Ρήγας	Nurse
55500000092	Γεώργιος	Βασιλείου	Nurse
55500000093	Αικατερίνη	Στεργίου	Nurse
55500000094	Δημήτριος	Δημητρίου	Nurse
55500000095	Ελένη	Αντωνίου	Nurse
55500000096	Ιωάννης	Λαζάρου	Nurse
55500000097	Σοφία	Μακρής	Nurse
55500000098	Κωνσταντίνος	Νικολάου	Nurse
55500000099	Άννα	Γεωργίου	Nurse
55500000100	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000101	Μαρία	Ρήγας	Nurse
55500000102	Γεώργιος	Βασιλείου	Nurse
55500000103	Αικατερίνη	Στεργίου	Nurse
55500000104	Δημήτριος	Δημητρίου	Nurse
55500000105	Ελένη	Αντωνίου	Nurse
55500000106	Ιωάννης	Λαζάρου	Nurse
55500000107	Σοφία	Μακρής	Nurse
55500000108	Κωνσταντίνος	Νικολάου	Nurse
55500000109	Άννα	Γεωργίου	Nurse
55500000110	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000111	Μαρία	Ρήγας	Nurse
55500000112	Γεώργιος	Βασιλείου	Nurse
55500000113	Αικατερίνη	Στεργίου	Nurse
55500000114	Δημήτριος	Δημητρίου	Nurse
55500000115	Ελένη	Αντωνίου	Nurse
55500000116	Ιωάννης	Λαζάρου	Nurse
55500000117	Σοφία	Μακρής	Nurse
55500000118	Κωνσταντίνος	Νικολάου	Nurse
55500000119	Άννα	Γεωργίου	Nurse
55500000120	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000121	Μαρία	Ρήγας	Nurse
55500000122	Γεώργιος	Βασιλείου	Nurse
55500000123	Αικατερίνη	Στεργίου	Nurse
55500000124	Δημήτριος	Δημητρίου	Nurse
55500000125	Ελένη	Αντωνίου	Nurse
55500000126	Ιωάννης	Λαζάρου	Nurse
55500000127	Σοφία	Μακρής	Nurse
55500000128	Κωνσταντίνος	Νικολάου	Nurse
55500000129	Άννα	Γεωργίου	Nurse
55500000130	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000131	Μαρία	Ρήγας	Nurse
55500000132	Γεώργιος	Βασιλείου	Nurse
55500000133	Αικατερίνη	Στεργίου	Nurse
55500000134	Δημήτριος	Δημητρίου	Nurse
55500000135	Ελένη	Αντωνίου	Nurse
55500000136	Ιωάννης	Λαζάρου	Nurse
55500000137	Σοφία	Μακρής	Nurse
55500000138	Κωνσταντίνος	Νικολάου	Nurse
55500000139	Άννα	Γεωργίου	Nurse
55500000140	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000141	Μαρία	Ρήγας	Nurse
55500000142	Γεώργιος	Βασιλείου	Nurse
55500000143	Αικατερίνη	Στεργίου	Nurse
55500000144	Δημήτριος	Δημητρίου	Nurse
55500000145	Ελένη	Αντωνίου	Nurse
55500000146	Ιωάννης	Λαζάρου	Nurse
55500000147	Σοφία	Μακρής	Nurse
55500000148	Κωνσταντίνος	Νικολάου	Nurse
55500000149	Άννα	Γεωργίου	Nurse
55500000150	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000151	Μαρία	Ρήγας	Nurse
55500000152	Γεώργιος	Βασιλείου	Nurse
55500000153	Αικατερίνη	Στεργίου	Nurse
55500000154	Δημήτριος	Δημητρίου	Nurse
55500000155	Ελένη	Αντωνίου	Nurse
55500000156	Ιωάννης	Λαζάρου	Nurse
55500000157	Σοφία	Μακρής	Nurse
55500000158	Κωνσταντίνος	Νικολάου	Nurse
55500000159	Άννα	Γεωργίου	Nurse
55500000160	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000161	Μαρία	Ρήγας	Nurse
55500000162	Γεώργιος	Βασιλείου	Nurse
55500000163	Αικατερίνη	Στεργίου	Nurse
55500000164	Δημήτριος	Δημητρίου	Nurse
55500000165	Ελένη	Αντωνίου	Nurse
55500000166	Ιωάννης	Λαζάρου	Nurse
55500000167	Σοφία	Μακρής	Nurse
55500000168	Κωνσταντίνος	Νικολάου	Nurse
55500000169	Άννα	Γεωργίου	Nurse
55500000170	Αλέξανδρος	Παπαδόπουλος	Nurse
55500000171	Μαρία	Ρήγας	Nurse
55500000172	Γεώργιος	Βασιλείου	Nurse
55500000173	Αικατερίνη	Στεργίου	Nurse
55500000174	Δημήτριος	Δημητρίου	Nurse
55500000175	Ελένη	Αντωνίου	Nurse
55500000176	Ιωάννης	Λαζάρου	Nurse
55500000177	Σοφία	Μακρής	Nurse
55500000178	Κωνσταντίνος	Νικολάου	Nurse
55500000179	Άννα	Γεωργίου	Nurse
55500000180	Αλέξανδρος	Παπαδόπουλος	Nurse
55726773290	Σπυρίδων	Νικολάου	Nurse
56070536229	Δημήτριος	Παππάς	Doctor
56146745058	Αθανάσιος	Ρήγας	Doctor
56487890645	Σοφία	Πετρίδης	Nurse
56816139013	Νικόλαος	Χρηστίδης	Nurse
57070525669	Βασιλική	Στεργίου	Nurse
57166357173	Στέφανος	Βέγγος	Doctor
57762459671	Αλεξάνδρα	Πετρίδης	Nurse
57969029136	Βασιλική	Μητρόπουλος	Nurse
58163018863	Αικατερίνη	Ράπτης	Doctor
58187653982	Σπυρίδων	Σκαφιδάς	Nurse
58554859704	Αθανάσιος	Κοντός	Nurse
59045953271	Βασίλειος	Χατζής	Nurse
59170974431	Παναγιώτης	Λάμπρου	Nurse
59684413729	Στέφανος	Κουτσός	Nurse
59813269788	Γεώργιος	Κυριακού	Nurse
60113433742	Χρήστος	Σκαφιδάς	Doctor
60258850957	Άννα	Δημητρίου	Doctor
60885923843	Αικατερίνη	Μακρής	Nurse
61092997504	Αλέξανδρος	Τότης	Nurse
61221407329	Δήμητρα	Παναγιωτόπουλος	Nurse
61468715462	Γεώργιος	Πέτρου	Doctor
61866218068	Αγγελική	Κυριακού	Doctor
62919004167	Μαρίνα	Καραγιάννης	Doctor
63428669442	Κωνσταντίνος	Γαλάνης	Nurse
63536633025	Ελένη	Αθανασίου	Nurse
63589004357	Σταυρούλα	Μάντης	Nurse
64525197858	Στυλιανός	Φωτιάδης	Doctor
64587237104	Παναγιώτα	Δούκας	Nurse
64616830263	Αγγελική	Παναγιωτόπουλος	Doctor
65011219311	Αγγελική	Κυριακού	Nurse
65304284617	Πέτρος	Κυριακού	Nurse
65826245017	Σοφία	Λάμπρου	Nurse
66199031458	Μιχαήλ	Σκούρας	Nurse
66845417859	Αναστασία	Παπαδόπουλος	Nurse
66893279180	Ηλίας	Ρήγας	Nurse
67369779567	Ιωάννα	Ράπτης	Nurse
67512536918	Στέφανος	Καρράς	Doctor
67715365841	Ελπίδα	Ράπτης	Nurse
67936628136	Ιωάννα	Νικολάου	Nurse
69498561566	Χρήστος	Παναγιωτόπουλος	Nurse
69573753578	Αικατερίνη	Φωτιάδης	Nurse
69640011596	Αναστασία	Κορωναίος	Doctor
69647293926	Γεώργιος	Μακρής	Nurse
69795940510	Βασίλειος	Παππάς	Nurse
70297232752	Μιχαήλ	Πέτρου	Doctor
70366228784	Κωνσταντίνα	Μανιάτης	Doctor
70490836859	Χρήστος	Κουτσός	Nurse
71339300968	Γεωργία	Βασιλείου	Nurse
71593790489	Ιωάννα	Κυριακού	Nurse
72089612174	Ιωάννα	Καραγιάννης	Doctor
72101521684	Ιωάννης	Χατζής	Nurse
72198191752	Μαρίνα	Αλεξίου	Doctor
72634331755	Φώτιος	Αγγελίδης	Nurse
72635364251	Μιχαήλ	Γαλάνης	Nurse
72917385898	Μιχαήλ	Αλεξίου	Doctor
73620650195	Στυλιανός	Χατζής	Nurse
75055405997	Ελένη	Κορωναίος	Nurse
75311000788	Βασίλειος	Μακρής	Nurse
76530307206	Κωνσταντίνα	Γαλάνης	Nurse
76554198838	Δήμητρα	Πετρίδης	Doctor
76690872196	Αλεξάνδρα	Κυριακού	Nurse
78019210878	Χρήστος	Αθανασίου	Doctor
78390332384	Σπυρίδων	Ράπτης	Nurse
78877511795	Βασιλική	Ράπτης	Nurse
