AMKA	first_name	last_name	num_surgeries
50481641367	Βασίλειος	Μάντης	0
09514268953	Ελένη	Κουτσός	0
89515550837	Παναγιώτης	Μάντης	0
43914561346	Αντώνιος	Καλλέργης	0
44400000009	Άννα	Στεργίου	0
44400000041	Μαρία	Μακρής	0
56070536229	Δημήτριος	Παππάς	0
16999662103	Ελπίδα	Μωραΐτης	0
44400000018	Κωνσταντίνος	Λαζάρου	0
44400000050	Αλέξανδρος	Παπαδόπουλος	0
21068257682	Ελπίδα	Λαζαρίδης	0
44400000059	Άννα	Στεργίου	0
04803904809	Ηλίας	Αθανασίου	0
76554198838	Δήμητρα	Πετρίδης	0
37369962539	Φωτεινή	Σπυρίδης	0
44400000004	Δημήτριος	Νικολάου	0
44400000036	Ιωάννης	Βασιλείου	0
44400000068	Κωνσταντίνος	Λαζάρου	0
51527861219	Κωνσταντίνος	Σπάθης	0
44400000013	Αικατερίνη	Ρήγας	0
44400000045	Ελένη	Αντωνίου	0
44400000077	Σοφία	Γεωργίου	0
60113433742	Χρήστος	Σκαφιδάς	0
16999662107	Βασιλική	Καραμήτρου	0
44400000022	Γεώργιος	Δημητρίου	0
44400000086	Ιωάννης	Βασιλείου	0
30853533793	Χριστίνα	Αλεξίου	0
44400000031	Μαρία	Μακρής	0
44400000063	Αικατερίνη	Ρήγας	0
49651311576	Χρήστος	Σιδέρης	0
08118938680	Αλεξάνδρα	Βλάχος	0
88297020946	Αγγελική	Μωραΐτης	0
43346276324	Σπυρίδων	Χατζής	0
44400000072	Γεώργιος	Δημητρίου	0
44400000017	Σοφία	Γεωργίου	0
44400000049	Άννα	Στεργίου	0
44400000081	Μαρία	Μακρής	0
62919004167	Μαρίνα	Καραγιάννης	0
19355882062	Σοφία	Ζέρβας	0
44400000026	Ιωάννης	Βασιλείου	0
44400000058	Κωνσταντίνος	Λαζάρου	0
44400000090	Αλέξανδρος	Παπαδόπουλος	0
72917385898	Μιχαήλ	Αλεξίου	0
37324805399	Σπυρίδων	Φωτιάδης	0
44400000035	Ελένη	Αντωνίου	0
44400000067	Σοφία	Γεωργίου	0
51308808187	Κωνσταντίνος	Γαλάνης	0
12588932719	Κωνσταντίνος	Αθανασίου	0
99936205092	Παναγιώτα	Κωστόπουλος	0
44400000003	Αικατερίνη	Ρήγας	0
44400000012	Γεώργιος	Δημητρίου	0
44400000044	Δημήτριος	Νικολάου	0
44400000021	Μαρία	Μακρής	0
44400000085	Ελένη	Αντωνίου	0
69640011596	Αναστασία	Κορωναίος	0
24663569812	Ελπίδα	Σαράντος	0
44400000030	Αλέξανδρος	Παπαδόπουλος	0
48478437225	Γεωργία	Μάντης	0
85849364047	Αλεξάνδρα	Διαμαντής	0
41423349662	Ιωάννης	Καλλέργης	0
44400000007	Σοφία	Γεωργίου	0
44400000039	Άννα	Στεργίου	0
44400000071	Μαρία	Μακρής	0
54121463621	Δήμητρα	Δημητρίου	0
15257713289	Ηλίας	Σκαφιδάς	0
44400000048	Κωνσταντίνος	Λαζάρου	0
44400000080	Αλέξανδρος	Παπαδόπουλος	0
61866218068	Αγγελική	Κυριακού	0
18688962000	Στυλιανός	Σκούρας	0
44400000025	Ελένη	Αντωνίου	0
44400000089	Άννα	Στεργίου	0
02276967833	Αικατερίνη	Βασιλείου	0
72198191752	Μαρίνα	Αλεξίου	0
34982378011	Παναγιώτης	Βεργής	0
44400000066	Ιωάννης	Βασιλείου	0
10419345226	Ιωάννα	Σπάθης	0
44400000002	Γεώργιος	Δημητρίου	0
44400000043	Αικατερίνη	Ρήγας	0
44400000075	Ελένη	Αντωνίου	0
57166357173	Στέφανος	Βέγγος	0
16999662105	Παναγιώτης	Παπαβλάχος	0
